,9043071	Rick Wilson	Alberta	West	Corporate,40732966	Tamara Dahlen	Ontario	Ontario	Corporate
448,100481316	Nona Balk	Saskachewan	Prarie	Corporate,
449,61069874	Katherine Murray	Nova Scotia	Atlantic	Home Office,
450,97394565	Maria Bertelson	Ontario	Ontario	Home Office,
451,47278754	Justin Hirsh	Quebec	Quebec	Consumer,
452,40247213	Jennifer Patt	British Columbia	West	Home Office,
453,19750832	Eric Barreto	Manitoba	Prarie	Small Business,
454,57991979	Clytie Kelty	Alberta	West	Small Business,
455,91785983	Lela Donovan	British Columbia	West	Corporate,
456,86395368	Edward Becker	Ontario	Ontario	Corporate,
457,56808082	Frank Atkinson	Newfoundland	Atlantic	Corporate,
458,39471769	Meg O'Connel	Manitoba	Prarie	Corporate,
459,41823417	Pierre Wener	Ontario	Ontario	Home Office,
460,44235784	Liz Thompson	Manitoba	Prarie	Corporate,
461,35330575	Darrin Sayre	Yukon	Yukon	Consumer,
462,89179979	Becky Martin	Quebec	Quebec	Home Office,
463,51472989	Rick Duston	Quebec	Quebec	Corporate,
464,56979805	Carl Ludwig	Northwest Territories	Northwest Territories	Corporate,
465,96413817	Monica Federle	British Columbia	West	Corporate,
466,97850819	Caroline Jumper	Quebec	Quebec	Corporate,
467,45692573	Nicole Hansen	Northwest Territories	Northwest Territories	Small Business,
468,79533912	Ken Black	Manitoba	Prarie	Consumer,
469,96713610	Dorris Love	Quebec	Quebec	Home Office,
470,37673316	Valerie Dominguez	Manitoba	Prarie	Corporate,
471,32797971	Dennis Bolton	British Columbia	West	Consumer,
472,66658318	Cari MacIntyre	Alberta	West	Corporate,
473,102020359	Tony Sayre	New Brunswick	Atlantic	Home Office,
474,6954303	Tracy Blumstein	Saskachewan	Prarie	Home Office,
475,68894717	Mark Haberlin	British Columbia	West	Small Business,
476,20711305	Gary McGarr	Quebec	Quebec	Home Office,
477,53947199	Lori Olson	New Brunswick	Atlantic	Consumer,
478,41170795	Brian Thompson	Ontario	Ontario	Home Office,
479,86789397	Natalie Webber	Manitoba	Prarie	Corporate,
480,101440448	Karen Carlisle	Nova Scotia	Atlantic	Corporate,
481,49422276	Bradley Nguyen	Quebec	Quebec	Consumer,
482,39390141	Fred McMath	Quebec	Quebec	Small Business,
483,14110003	George Zrebassa	British Columbia	West	Home Office,
484,12566604	Cindy Schnelling	Saskachewan	Prarie	Corporate,
485,55158361	Michael Kennedy	Quebec	Quebec	Corporate,
486,105870693	Greg Guthrie	Prince Edward Island	Atlantic	Corporate,
487,38079848	Raymond Book	Alberta	West	Consumer,
488,9279285	Yana Sorensen	Quebec	Quebec	Corporate,
489,34287086	Jeremy Farry	Quebec	Quebec	Small Business,
490,88926329	Marc Harrigan	British Columbia	West	Home Office,
491,17355109	Robert Barroso	Nova Scotia	Atlantic	Small Business,
492,73798026	Susan Vittorini	Northwest Territories	Northwest Territories	Corporate,
493,29954303	Tony Molinari	Nova Scotia	Atlantic	Corporate,
494,12997708	Denny Blanton	Ontario	Ontario	Home Office,
495,49950601	Meg Tillman	Saskachewan	Prarie	Small Business,
496,79410087	Amy Hunt	Saskachewan	Prarie	Small Business,
497,42440910	Brad Thomas	Nova Scotia	Atlantic	Corporate,
498,102100618	Carlos Daly	Northwest Territories	Northwest Territories	Home Office,
499,40344994	Dennis Bolton	British Columbia	West	Small Business,
500,105982998	Jessica Myrick	Alberta	West	Small Business,
501,100725173	Ralph Kennedy	Nova Scotia	Atlantic	Corporate,
502,79773068	Rob Lucas	Yukon	Yukon	Small Business,
503,70665879	Carlos Soltero	Manitoba	Prarie	Consumer,
504,30297651	Jocasta Rupert	British Columbia	West	Consumer,
505,20033456	Chad Sievert	Manitoba	Prarie	Corporate,
506,39140094	Doug Bickford	Northwest Territories	Northwest Territories	Corporate,
507,37304343	Nick Radford	Manitoba	Prarie	Corporate,
508,25165064	Yoseph Carroll	Alberta	West	Consumer,
509,13788018	Mike Gockenbach	Manitoba	Prarie	Consumer,
510,43284892	Jay Fine	Nova Scotia	Atlantic	Consumer,
511,25715035	Bobby Elias	British Columbia	West	Small Business,
512,48810863	Nathan Gelder	Ontario	Ontario	Home Office,
513,6763230	Skye Norling	Ontario	Ontario	Home Office,
514,2465224	Jeremy Lonsdale	Northwest Territories	Northwest Territories	Corporate,
515,98310844	Deborah Brumfield	Yukon	Yukon	Small Business,
516,87106625	Sam Craven	Saskachewan	Prarie	Home Office,
517,18837338	Penelope Sewall	Manitoba	Prarie	Home Office,
518,76208299	Lycoris Saunders	Saskachewan	Prarie	Corporate,
519,67755932	Joy Bell	Northwest Territories	Northwest Territories	Home Office,
520,70050666	Sung Shariari	Saskachewan	Prarie	Corporate,
521,14443258	Bart Watters	British Columbia	West	Corporate,
522,64392832	Laurel Workman	Alberta	West	Home Office,
523,69958724	Amy Cox	Yukon	Yukon	Corporate,
524,87691641	Bill Stewart	Ontario	Ontario	Corporate,
525,59645894	Nathan Mautz	New Brunswick	Atlantic	Corporate,
526,10797386	Michael Oakman	Saskachewan	Prarie	Small Business,
527,40351884	Christopher Martinez	British Columbia	West	Home Office,
528,81921479	Michael Oakman	Manitoba	Prarie	Small Business,
529,19317610	Stephanie Ulpright	Ontario	Ontario	Consumer,
530,65628978	Art Foster	Ontario	Ontario	Home Office,
531,47742901	Dave Kipp	British Columbia	West	Consumer,
532,60849801	Erica Hernandez	Ontario	Ontario	Small Business,
533,100125926	Ben Wallace	Quebec	Quebec	Home Office,
534,40629636	Duane Huffman	Ontario	Ontario	Small Business,
535,93471011	Allen Armold	New Brunswick	Atlantic	Home Office,
536,96580875	Mitch Webber	Quebec	Quebec	Corporate,
537,104752832	Jasper Cacioppo	Quebec	Quebec	Home Office,
538,31543089	Aaron Bergman	Alberta	West	Corporate,
539,83620837	Scott Cohen	British Columbia	West	Consumer,
540,97203720	Cassandra Brandow	Alberta	West	Home Office,
541,37535131	Cari Sayre	Alberta	West	Home Office,
542,81910228	Cathy Hwang	Newfoundland	Atlantic	Home Office,
543,39669813	Phillina Ober	New Brunswick	Atlantic	Small Business,
544,12009006	Robert Barroso	Yukon	Yukon	Small Business,
545,107335664	Nathan Mautz	British Columbia	West	Corporate,
546,68210083	Alan Shonely	Nova Scotia	Atlantic	Small Business,
547,63543862	Rick Wilson	Ontario	Ontario	Corporate,
548,4036912	Evan Henry	Ontario	Ontario	Corporate,
549,44768806	Maria Zettner	Manitoba	Prarie	Corporate,
550,22307990	Matt Collister	Saskachewan	Prarie	Home Office,
551,40381618	Cynthia Arntzen	Ontario	Ontario	Home Office,
552,35713813	Matthew Clasen	Manitoba	Prarie	Consumer,
553,42801539	Alex Grayson	Ontario	Ontario	Consumer,
554,98550273	Harold Dahlen	Saskachewan	Prarie	Corporate,
555,35080446	Roy Collins	Saskachewan	Prarie	Corporate,
556,24878468	Natalie DeCherney	Quebec	Quebec	Consumer,
557,48705543	Beth Thompson	Nunavut	Nunavut	Corporate,
558,44424960	David Bremer	Yukon	Yukon	Corporate,
559,64147312	Amy Cox	Ontario	Ontario	Small Business,
560,30311200	Bryan Spruell	British Columbia	West	Home Office,
561,68418756	Jesus Ocampo	Ontario	Ontario	Small Business,
562,94998229	Brian Dahlen	Saskachewan	Prarie	Small Business,
563,69252035	Harold Ryan	Ontario	Ontario	Home Office,
564,44510740	Corinna Mitchell	Ontario	Ontario	Corporate,
565,29954408	Henry Goldwyn	Manitoba	Prarie	Small Business,
566,45162841	Patrick O'Donnell	Ontario	Ontario	Home Office,
567,93758371	Maribeth Dona	British Columbia	West	Home Office,
568,18173108	Liz Carlisle	Saskachewan	Prarie	Corporate,
569,47672749	Nora Price	Quebec	Quebec	Home Office,
570,19646165	Julia Barnett	Yukon	Yukon	Home Office,
571,21729136	Dave Brooks	Ontario	Ontario	Corporate,
572,69084540	Michelle Tran	Quebec	Quebec	Consumer,
573,96376660	Tom Zandusky	Manitoba	Prarie	Home Office,
574,59450419	Naresj Patel	Ontario	Ontario	Small Business,
575,70563874	Mark Cousins	British Columbia	West	Home Office,
576,99048732	Speros Goranitis	British Columbia	West	Corporate,
577,18174109	Eugene Hildebrand	Ontario	Ontario	Home Office,
578,65013142	Kelly Lampkin	Ontario	Ontario	Home Office,
579,76850542	Neola Schneider	Nunavut	Nunavut	Home Office,
580,79088641	Seth Vernon	British Columbia	West	Home Office,
581,27626796	Patricia Hirasaki	Ontario	Ontario	Home Office,
582,22050539	Adam Bellavance	Alberta	West	Small Business,
583,33819770	Dave Poirier	Nova Scotia	Atlantic	Small Business,
584,71417179	Phillina Ober	Alberta	West	Small Business,
585,98340679	Cathy Prescott	Ontario	Ontario	Corporate,
586,93290663	Gene McClure	Manitoba	Prarie	Consumer,
587,79954809	Lauren Leatherbury	Alberta	West	Corporate,
588,62437020	Aimee Bixby	Ontario	Ontario	Home Office,
589,76281881	Nora Paige	British Columbia	West	Small Business,
590,34751059	Maribeth Dona	New Brunswick	Atlantic	Home Office,
591,56674083	Brendan Sweed	Alberta	West	Consumer,
592,79648189	Bradley Talbott	Nova Scotia	Atlantic	Small Business,
593,40155039	Rick Duston	Nova Scotia	Atlantic	Corporate,
594,20002172	Maureen Gastineau	Yukon	Yukon	Consumer,
595,96387888	Roy Skaria	Ontario	Ontario	Corporate,
596,20872558	Sarah Jordon	Nova Scotia	Atlantic	Consumer,
597,93331830	Richard Eichhorn	Saskachewan	Prarie	Consumer,
598,86487510	John Lee	New Brunswick	Atlantic	Corporate,
599,17241550	Rick Hansen	Saskachewan	Prarie	Corporate,
600,14961350	Randy Ferguson	Saskachewan	Prarie	Home Office,
601,19986307	Gary Hansen	Ontario	Ontario	Consumer,
602,53648269	Dana Kaydos	Manitoba	Prarie	Corporate,
603,86931361	Monica Federle	Northwest Territories	Northwest Territories	Corporate,
604,32605811	Michael Dominguez	Ontario	Ontario	Home Office,
605,85418259	Meg Tillman	Manitoba	Prarie	Small Business,
606,34104001	Ben Peterman	Nova Scotia	Atlantic	Corporate,
607,20427219	Benjamin Patterson	Ontario	Ontario	Corporate,
608,23169608	Ed Braxton	Yukon	Yukon	Home Office,
609,11233852	Adam Bellavance	Ontario	Ontario	Small Business,
610,52428882	Tracy Poddar	Ontario	Ontario	Corporate,
611,86396748	Lena Radford	Ontario	Ontario	Small Business,
612,54160156	Ralph Knight	Nunavut	Nunavut	Consumer,
613,61100400	Daniel Byrd	Alberta	West	Home Office,
614,61907970	Christina Vanderzanden	Ontario	Ontario	Small Business,
615,41626962	Carl Jackson	Nunavut	Nunavut	Corporate,
616,28941888	Dionis Lloyd	Quebec	Quebec	Small Business,
617,68423234	Ann Chong	Nunavut	Nunavut	Corporate,
618,71827888	Cyma Kinney	Alberta	West	Small Business,
619,17803888	Darrin Martin	Ontario	Ontario	Small Business,
620,65158225	Aleksandra Gannaway	Yukon	Yukon	Home Office,
621,8553190	Cynthia Delaney	Manitoba	Prarie	Corporate,
622,71683306	Tom Prescott	Quebec	Quebec	Small Business,
623,25228465	Frank Atkinson	Nova Scotia	Atlantic	Corporate,
624,11928127	Beth Thompson	Northwest Territories	Northwest Territories	Corporate,
625,89681717	Clay Ludtke	Quebec	Quebec	Consumer,
626,59478070	Michael Grace	Saskachewan	Prarie	Corporate,
627,64639386	Chuck Magee	Prince Edward Island	Atlantic	Corporate,
628,75843176	Mike Kennedy	Nova Scotia	Atlantic	Corporate,
629,97790785	Ralph Arnett	Quebec	Quebec	Consumer,
630,79197180	Jack O'Briant	Saskachewan	Prarie	Consumer,
631,77123402	Laura Armstrong	Ontario	Ontario	Small Business,
632,35248419	Erica Hernandez	Nova Scotia	Atlantic	Small Business,
633,36941796	Julia Barnett	British Columbia	West	Corporate,
634,30236526	Steve Carroll	Nova Scotia	Atlantic	Consumer,
635,101893757	Ross Baird	Manitoba	Prarie	Corporate,
636,32914519	Art Ferguson	Manitoba	Prarie	Corporate,
637,50130217	Bobby Odegard	Ontario	Ontario	Corporate,
638,14825481	Katrina Willman	Nova Scotia	Atlantic	Consumer,
639,102822795	Bobby Elias	Yukon	Yukon	Small Business,
640,4035756	Philip Fox	Saskachewan	Prarie	Home Office,
641,10045148	Bill Tyler	Nova Scotia	Atlantic	Consumer,
642,75446618	Dave Poirier	British Columbia	West	Small Business,
643,100010565	Helen Andreada	British Columbia	West	Corporate,
644,23386707	Nora Price	New Brunswick	Atlantic	Home Office,
645,97151439	David Wiener	Nova Scotia	Atlantic	Consumer,
646,61874205	Thomas Seio	Northwest Territories	Northwest Territories	Home Office,
647,75847676	Chris Cortes	Ontario	Ontario	Consumer,
648,10010675	Kristen Hastings	Ontario	Ontario	Corporate,
649,75566934	Muhammed MacIntyre	Northwest Territories	Northwest Territories	Small Business,
650,81466627	Chuck Sachs	Nova Scotia	Atlantic	Consumer,
651,50623060	Edward Hooks	Prince Edward Island	Atlantic	Consumer,
652,37146022	Liz MacKendrick	Ontario	Ontario	Corporate,
653,43859307	Christine Abelman	Alberta	West	Corporate,
654,86802122	Mike Pelletier	Alberta	West	Corporate,
655,5768603	Fred McMath	Ontario	Ontario	Small Business,
656,7031126	Cynthia Arntzen	Saskachewan	Prarie	Small Business,
657,73337961	Don Miller	Northwest Territories	Northwest Territories	Home Office,
658,93796619	Duane Noonan	Yukon	Yukon	Corporate,
659,63204716	Herbert Flentye	Ontario	Ontario	Small Business,
660,44368691	Brian Derr	Manitoba	Prarie	Small Business,
661,98068071	Susan MacKendrick	Manitoba	Prarie	Corporate,
662,14291205	Helen Abelman	Prince Edward Island	Atlantic	Home Office,
663,22558635	Brian Derr	Nova Scotia	Atlantic	Small Business,
664,65028410	Joni Blumstein	Ontario	Ontario	Home Office,
665,48889817	Aaron Smayling	Quebec	Quebec	Small Business,
666,40318451	Neil Knudson	Saskachewan	Prarie	Home Office,
667,34851166	Frank Hawley	Alberta	West	Home Office,
668,19995239	Chuck Clark	Nova Scotia	Atlantic	Corporate,
669,47237797	Michelle Huthwaite	Quebec	Quebec	Home Office,
670,77652417	Lindsay Castell	Saskachewan	Prarie	Small Business,
671,16972966	Susan Pistek	Saskachewan	Prarie	Home Office,
672,45622197	Laurel Elliston	New Brunswick	Atlantic	Home Office,
673,29705839	Muhammed Yedwab	New Brunswick	Atlantic	Consumer,
674,89767975	Dave Hallsten	Ontario	Ontario	Home Office,
675,58580475	Brian DeCherney	Alberta	West	Corporate,
676,32302821	John Castell	British Columbia	West	Consumer,
677,86853010	Henry Goldwyn	Prince Edward Island	Atlantic	Small Business,
678,41264800	Tanja Norvell	Manitoba	Prarie	Corporate,
679,95652866	Alex Russell	Alberta	West	Home Office,
680,54579803	Max Ludwig	Saskachewan	Prarie	Corporate,
681,67857024	Patrick O'Brill	British Columbia	West	Home Office,
682,26807355	Sung Chung	Saskachewan	Prarie	Home Office,
683,31848876	Justin Ellison	Saskachewan	Prarie	Home Office,
684,74011642	Eric Barreto	Quebec	Quebec	Consumer,
685,25911898	Sanjit Jacobs	Quebec	Quebec	Consumer,
686,3837643	Lycoris Saunders	Saskachewan	Prarie	Home Office,
687,63590330	Brad Eason	Northwest Territories	Northwest Territories	Small Business,
688,74510177	James Galang	New Brunswick	Atlantic	Consumer,
689,37575390	Shaun Chance	Alberta	West	Corporate,
690,10356602	Lena Creighton	Ontario	Ontario	Corporate,
691,62992734	Rachel Payne	Manitoba	Prarie	Consumer,
692,76590642	Nora Pelletier	Manitoba	Prarie	Home Office,
693,94347685	Jeremy Lonsdale	Saskachewan	Prarie	Corporate,
694,103767580	Andrew Gjertsen	Prince Edward Island	Atlantic	Consumer,
695,49819071	Victoria Pisteka	Yukon	Yukon	Corporate,
696,39501159	Phillip Flathmann	Quebec	Quebec	Small Business,
697,99377938	Ann Blume	Nova Scotia	Atlantic	Small Business,
698,45703891	Matt Collister	Quebec	Quebec	Home Office,
699,31307134	Brendan Murry	Yukon	Yukon	Corporate,
700,45065842	Aaron Bergman	Nunavut	Nunavut	Corporate,
701,25774862	Gary Mitchum	Ontario	Ontario	Consumer,
702,34111372	Muhammed Lee	Yukon	Yukon	Consumer,
703,12488619	Bryan Davis	Northwest Territories	Northwest Territories	Corporate,
704,6982655	Bruce Stewart	Manitoba	Prarie	Corporate,
705,29419859	Mike Pelletier	Northwest Territories	Northwest Territories	Corporate,
706,102857204	Sally Knutson	British Columbia	West	Corporate,
707,82540287	Neola Schneider	Northwest Territories	Northwest Territories	Home Office,
708,71078600	Alejandro Savely	British Columbia	West	Corporate,
709,76000431	Nicole Brennan	Manitoba	Prarie	Consumer,
710,91212453	Max Engle	Quebec	Quebec	Corporate,
711,91884763	Thea Hendricks	Quebec	Quebec	Home Office,
712,23344923	Giulietta Dortch	Yukon	Yukon	Consumer,
713,23905406	Dennis Kane	Quebec	Quebec	Small Business,
714,12419685	Lisa DeCherney	British Columbia	West	Corporate,
715,51228970	Brenda Bowman	Saskachewan	Prarie	Small Business,
716,63686255	Tim Brockman	Alberta	West	Consumer,
717,96218342	Dan Campbell	Quebec	Quebec	Small Business,
718,13638622	Pierre Wener	Quebec	Quebec	Home Office,
719,104494645	Neil Knudson	British Columbia	West	Corporate,
720,51328978	Amy Cox	Ontario	Ontario	Corporate,
721,80862950	Arthur Gainer	Alberta	West	Consumer,
722,103153738	Russell Applegate	Manitoba	Prarie	Small Business,
723,28799558	Gene Hale	British Columbia	West	Consumer,
724,6913864	Stuart Van	Quebec	Quebec	Consumer,
725,11321197	Christina DeMoss	British Columbia	West	Home Office,
726,39521544	George Zrebassa	Quebec	Quebec	Home Office,
727,11551378	Craig Yedwab	Yukon	Yukon	Consumer,
728,67028724	Bobby Trafton	Quebec	Quebec	Corporate,
729,7210830	Cari Sayre	Alberta	West	Corporate,
730,10691025	Dennis Pardue	Saskachewan	Prarie	Corporate,
731,96589719	Quincy Jones	Alberta	West	Corporate,
732,78620006	Christine Kargatis	Ontario	Ontario	Small Business,
733,58178202	Valerie Takahito	Alberta	West	Consumer,
734,46716126	Thomas Thornton	Yukon	Yukon	Consumer,
735,91078763	Hunter Lopez	British Columbia	West	Consumer,
736,31765799	Corey Catlett	Nova Scotia	Atlantic	Home Office,
737,53537502	Darren Koutras	Nova Scotia	Atlantic	Consumer,
738,35123748	Matt Abelman	Nova Scotia	Atlantic	Home Office,
739,33887422	Grant Carroll	Prince Edward Island	Atlantic	Small Business,
740,15052698	Rob Haberlin	Ontario	Ontario	Corporate,
741,29055608	Darrin Sayre	Nova Scotia	Atlantic	Consumer,
742,29025972	Jill Matthias	British Columbia	West	Consumer,
743,52276520	Eric Barreto	British Columbia	West	Small Business,
744,55920460	Neil Knudson	Saskachewan	Prarie	Corporate,
745,97070934	Mike Caudle	Ontario	Ontario	Corporate,
746,61322431	Brian Thompson	Quebec	Quebec	Home Office,
747,59879429	Sara Luxemburg	Nova Scotia	Atlantic	Corporate,
748,96448861	Liz Willingham	Quebec	Quebec	Home Office,
749,48564444	Matt Abelman	British Columbia	West	Home Office,
750,97936435	Marc Crier	Manitoba	Prarie	Corporate,
751,102974960	Sara Luxemburg	Nova Scotia	Atlantic	Small Business,
752,34013170	Craig Molinari	Saskachewan	Prarie	Small Business,
753,100729818	Jenna Caffey	Alberta	West	Consumer,
754,26730000	Deborah Brumfield	British Columbia	West	Small Business,
755,42895043	Theresa Swint	Quebec	Quebec	Consumer,
756,104393625	Duane Huffman	Ontario	Ontario	Consumer,
757,103723976	Annie Cyprus	Nunavut	Nunavut	Home Office,
758,5890384	Liz Price	Nova Scotia	Atlantic	Consumer,
759,29483524	Erin Mull	New Brunswick	Atlantic	Corporate,
760,84641727	Cindy Chapman	Yukon	Yukon	Corporate,
761,26983125	Carlos Soltero	Nunavut	Nunavut	Consumer,
762,9523535	Stewart Visinsky	Manitoba	Prarie	Corporate,
763,22838558	Michael Granlund	Nova Scotia	Atlantic	Home Office,
764,24149383	Denny Joy	Manitoba	Prarie	Corporate,
765,77009680	Rob Beeghly	Saskachewan	Prarie	Consumer,
766,98541198	Paul MacIntyre	Ontario	Ontario	Corporate,
767,18334625	Nancy Lomonaco	Ontario	Ontario	Home Office,
768,68157819	Eugene Barchas	Nunavut	Nunavut	Corporate,
769,50890784	Dave Hallsten	Ontario	Ontario	Corporate,
770,42701778	Dan Campbell	Yukon	Yukon	Corporate,
771,55591205	Cindy Chapman	Yukon	Yukon	Consumer,
772,101248528	Carlos Meador	Yukon	Yukon	Corporate,
773,76319822	Mike Kennedy	Manitoba	Prarie	Corporate,
774,81675705	Joseph Airdo	Manitoba	Prarie	Corporate,
775,73221313	Patrick Bzostek	British Columbia	West	Consumer,
776,18361125	Jas O'Carroll	Ontario	Ontario	Corporate,
777,76814747	Arthur Gainer	Manitoba	Prarie	Corporate,
778,58129492	Philip Brown	Prince Edward Island	Atlantic	Corporate,
779,15561390	Keith Herrera	Nova Scotia	Atlantic	Small Business,
780,81815032	Eudokia Martin	Ontario	Ontario	Home Office,
781,51145168	Fred Wasserman	Ontario	Ontario	Home Office,
782,61807764	Andy Yotov	Alberta	West	Corporate,
